spotify_id,name
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
50co4Is1HCEo8bhOyUWKpn,Young Thug
66ihevNkSYNzRAl44dx6jJ,Carín León
2OFij1ppCwYFCOTq7vzafi,bees & honey
3ebS2RuCq8QeLyndUDmgB5,WizTheMc
5INjqkS1o8h1imAzPqGZBb,Tame Impala
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies
4fEkbug6kZzzJ8eYX6Kbbp,KK
4D75GcNG95ebPtNvoNVXhz,AFROJACK
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan
4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON
6nVcHLIgY5pE2YCl8ubca1,JHAYCO
5PlfkPxwCpRRWQJBxCa0By,HUGEL
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine
4ScCswdRlyA23odg9thgIO,Jess Glynne
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll
3y2cIKLjiOlp1Np37WiUdH,Shaboozey
0C0XlULifJtAgn6ZNCW2eu,The Killers
37230BxxYs9ksS7OkZw3IU,Chencho Corleone
4lxfqrEsLX6N1N4OCSkILp,Phil Collins
7vk5e3vY1uw9plTHJAMwjN,Alan Walker
2oSONSC9zQ4UonDKnLqksx,Atif Aslam
5uwa6tAMMfNbBFIHiI6NV4,W Sound
5UJ2sHO2ELrgW6aXeRLTQQ,Chinmayi
1iCnM8foFssWlPRLfAbIwo,Gigi Perez
4YLtscXsxbVgi031ovDDdh,Chris Stapleton
4r63FhuTkUYltbVAg5TQnk,DaBaby
0rvjqX7ttXeg3mTy8Xscbt,Journey
09UmIX92EUH9hAK4bxvHx6,Mithoon
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
3aQeKQSyrW4qWr35idm0cy,T-Pain
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
4SsVbpTthjScTS7U2hmr1X,Arcángel
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
2LIk90788K0zvyj2JJVwkJ,Jack Harlow
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
6nS5roXSAGhTGr34W6n7Et,Disclosure
3wcj11K77LjEY1PkEazffa,Burna Boy
1OFOShsIbhy1l5x73yuVyB,Shenseea
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik
4LLpKhyESsyAXpc4laK94U,Mac Miller
718COspgdWOnwOFpJHRZHS,Luke Combs
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray
4obzFoKoKRHIphyHzJ35G3,Becky G
3c0gDdb9lhnHGFtP4prQpn,KATSEYE
7CvTknweLr9feJtRGrpDBy,FloyyMenor
5H4yInM5zmHqpKIoMNAx4r,Central Cee
716NhGYqD1jl2wI1Qkgq36,Bizarrap
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith
5ZsFI1h6hIdQRw2ti0hz81,ZAYN
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp
0ECwFtbIWEVNwjlrfc6xoL,Eagles
7JBaynR7JFeniONqbnn1U4,Andrew Choi
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd
5LHRHt1k9lMyONurDHEdrp,Tyga
360IAlyVv4PCEVjgyMZrxK,Miguel
0NGAZxHanS9e0iNHpR8f2W,Alok
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire"
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress
2gBjLmx6zQnFGQJCAQpRgw,Nelly
1G9G7WwrXka3Z1r7aIDjI7,Outkast
1ZwdS5xdxEREPySFridCfh,2Pac
5FkUhnHQ0KC63549LHHtst,Skillibeng
6deZN1bslXzeGvOLaLMOIF,Nickelback
5y2Xq6xcjJb2jVM54GHK3t,John Legend
02kJSzxNuaWGqwubyUba0Z,G-Eazy
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
2hVWBpjLW4Q7fboYz2pVYK,MOLIY
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra
3bO19AOone0ubCsfDXDtYt,Myles Smith
6vXTefBL93Dj5IqAWq6OTv,French Montana
2qoQgPAilErOKCwE2Y8wOG,GloRilla
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix
2oQX8QiMXOyuqbcZEFsZfm,El Alfa
57vWImR43h4CaDao012Ofp,Steve Lacy
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi
35l9BRT7MXmM8bv2WDQiyB,beabadoobee
2jzc5TC5TVFLXQlBNiIUzE,a-ha
28gNT5KBp7IjEOQoevXf9N,Camilo
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
0GM7qgcRCORpGnfcN2tCiB,Tainy
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
0elWFr7TW8piilVRYJUe4P,Natanael Cano
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre
7Gi6gjaWy3DxyilpF1a8Is,Junior H
5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2jSGzJw0ebJLu7OLVSOcBP,Plan B
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield
11pXvO7wYuzRWYONDOBd33,Danny Chung
10exVja0key0uqUkk6LJRT,Vance Joy
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys
21451j1KhjAiaYKflxBjr1,Zion & Lennox
1qto4hHid1P71emI6Fd8xi,Aventura
1eDupbD9kIx8UaZlzcBG5r,samUIL Lee
2RYonYiVhhzBz82UFXOvEN,KEVIN WOO
5bXNU0MAF2HSqyFPhYtscH,Neckwav
5eumcnUkdmGvkvcsx1WFNG,Tito Double P
0c173mlxpT3dSFRgMO8XPh,Big Sean
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon
5EvFsr3kj42KNv97ZEnqij,Shaggy
0cGUm45nv7Z6M6qdXYQGTX,Kehlani
5CiGnKThu5ctn9pBxv7DGa,benny blanco
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya
77ziqFxp5gaInVrF2lj4ht,Sech
2kxP07DLgs4xlWz8YHlvfh,NIKI
6U3ybJ9UHNKEdsH7ktGBZ7,JID
0u6GtibW46tFX7koQ6uNJZ,Topic
7okwEbXzyT2VffBmyQBWLz,Maná
