spotify_id,name,followers,popularity,genres
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,14319538,81,
3aQeKQSyrW4qWr35idm0cy,T-Pain,5599568,83,
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,5189889,79,
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,12181743,83,
4SsVbpTthjScTS7U2hmr1X,Arcángel,17345967,86,"reggaeton, trap latino, urbano latino"
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,3918321,79,edm
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,9082120,80,disco
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,9844253,86,"melodic rap, rap"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,18987576,85,melodic rap
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,4264675,80,
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,7719318,76,"bollywood, sufi, desi, hindi pop"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,11849196,80,
6nS5roXSAGhTGr34W6n7Et,Disclosure,2325197,78,house
3wcj11K77LjEY1PkEazffa,Burna Boy,13093791,85,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano"
1OFOShsIbhy1l5x73yuVyB,Shenseea,1060282,78,"dancehall, soca, afrobeats"
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,19378719,84,"bollywood, hindi pop, desi"
4LLpKhyESsyAXpc4laK94U,Mac Miller,11962600,85,
718COspgdWOnwOFpJHRZHS,Luke Combs,13042420,87,country
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,12026151,82,
4obzFoKoKRHIphyHzJ35G3,Becky G,16459876,79,"reggaeton, latin"
3c0gDdb9lhnHGFtP4prQpn,KATSEYE,2907107,85,k-pop
7CvTknweLr9feJtRGrpDBy,FloyyMenor,1971210,81,reggaeton chileno
5H4yInM5zmHqpKIoMNAx4r,Central Cee,9059504,84,"uk drill, drill, uk grime, grime"
716NhGYqD1jl2wI1Qkgq36,Bizarrap,18017096,81,"argentine trap, trap latino, urbano latino"
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,4226556,85,
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,12398340,80,"old school hip hop, gangster rap, east coast hip hop, hip hop"
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,15707854,79,"classic rock, rock"
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,23894032,78,
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,501804,77,
0ECwFtbIWEVNwjlrfc6xoL,Eagles,11908303,79,"classic rock, yacht rock, soft rock"
7JBaynR7JFeniONqbnn1U4,Andrew Choi,66912,87,k-pop
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,22316592,83,"progressive rock, psychedelic rock, classic rock, art rock, rock"
5LHRHt1k9lMyONurDHEdrp,Tyga,7222941,81,
360IAlyVv4PCEVjgyMZrxK,Miguel,5977883,81,r&b
0NGAZxHanS9e0iNHpR8f2W,Alok,11261315,80,"brazilian bass, electronic, slap house, electro house"
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,15758751,79,
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,4513241,78,
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,8617945,81,classic rock
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",4921970,77,disco
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,11335855,81,"emo, pop punk"
